sun,wind,humidity,season,time,temp,travel,tennis
not sunny,windy,not humid,summer,AM,55.61,13,no tennis
sunny,not windy,humid,summer,AM,94.0,21,tennis
sunny,windy,not humid,fall,AM,94.31,3,tennis
sunny,windy,humid,fall,PM,97.4,10,tennis
not sunny,windy,not humid,summer,PM,86.96,12,no tennis
not sunny,not windy,not humid,fall,PM,74.09,9,no tennis
not sunny,not windy,humid,summer,PM,75.2,20,no tennis
not sunny,windy,humid,summer,AM,80.85,20,no tennis
sunny,windy,not humid,fall,AM,82.14,12,tennis
not sunny,windy,not humid,summer,AM,66.47,12,no tennis
not sunny,windy,not humid,summer,AM,78.74,28,no tennis
not sunny,windy,not humid,summer,PM,62.96,25,no tennis
not sunny,not windy,humid,fall,PM,84.59,7,no tennis
sunny,windy,humid,summer,AM,74.29,12,tennis
not sunny,not windy,humid,summer,PM,71.69,0,no tennis
sunny,windy,not humid,summer,PM,97.94,19,tennis
not sunny,windy,not humid,fall,PM,71.05,24,no tennis
not sunny,windy,humid,summer,AM,80.97,30,tennis
not sunny,not windy,not humid,fall,AM,56.22,27,no tennis
sunny,windy,humid,summer,AM,95.2,10,tennis
sunny,not windy,humid,summer,PM,81.3,6,tennis
sunny,windy,not humid,fall,PM,95.56,11,tennis
not sunny,windy,humid,fall,PM,71.01,2,no tennis
not sunny,windy,not humid,fall,AM,88.78,8,no tennis
sunny,windy,humid,summer,AM,72.1,13,tennis
sunny,not windy,not humid,fall,PM,76.31,23,tennis
sunny,windy,humid,summer,AM,84.57,25,tennis
sunny,not windy,not humid,summer,AM,80.25,27,tennis
sunny,not windy,not humid,fall,PM,88.78,5,tennis
not sunny,not windy,humid,fall,PM,94.83,25,no tennis
not sunny,not windy,not humid,summer,PM,65.27,29,no tennis
sunny,windy,not humid,summer,PM,60.36,6,tennis
not sunny,windy,humid,fall,AM,85.34,0,no tennis
sunny,not windy,humid,fall,PM,85.48,23,tennis
not sunny,windy,not humid,fall,AM,85.67,10,no tennis
not sunny,not windy,not humid,summer,AM,67.67,9,no tennis
sunny,not windy,humid,fall,AM,84.4,21,tennis
not sunny,windy,not humid,summer,PM,77.17,8,no tennis
not sunny,not windy,humid,fall,AM,63.07,8,no tennis
sunny,windy,not humid,fall,AM,59.45,27,tennis
not sunny,windy,not humid,summer,PM,64.66,16,no tennis
not sunny,not windy,not humid,summer,AM,79.58,16,no tennis
not sunny,windy,not humid,summer,PM,79.65,12,no tennis
not sunny,not windy,humid,summer,AM,77.74,16,no tennis
not sunny,not windy,not humid,fall,AM,52.99,19,tennis
sunny,not windy,humid,summer,PM,51.88,13,tennis
sunny,not windy,humid,fall,AM,96.08,12,tennis
not sunny,not windy,not humid,fall,PM,78.85,30,no tennis
not sunny,windy,not humid,fall,PM,56.27,26,no tennis
not sunny,windy,humid,summer,AM,69.64,16,no tennis
not sunny,windy,humid,summer,PM,93.89,29,no tennis
not sunny,windy,humid,fall,AM,94.47,27,no tennis
sunny,not windy,not humid,fall,AM,72.72,11,tennis
sunny,not windy,not humid,fall,PM,86.12,16,tennis
sunny,windy,not humid,fall,AM,67.41,16,tennis
not sunny,windy,humid,fall,AM,74.98,6,no tennis
not sunny,windy,humid,summer,PM,98.06,4,no tennis
sunny,not windy,humid,summer,AM,92.18,8,tennis
not sunny,windy,humid,fall,PM,94.7,7,tennis
sunny,not windy,humid,summer,PM,74.7,20,tennis
sunny,windy,not humid,summer,PM,99.88,19,tennis
sunny,not windy,not humid,summer,AM,82.56,5,tennis
not sunny,not windy,humid,fall,PM,95.71,0,no tennis
sunny,windy,humid,fall,AM,66.69,16,tennis
sunny,windy,not humid,summer,AM,86.01,7,tennis
sunny,windy,not humid,summer,PM,68.2,12,tennis
not sunny,not windy,humid,fall,PM,87.65,28,tennis
not sunny,windy,humid,fall,AM,74.7,22,no tennis
not sunny,windy,not humid,summer,AM,65.74,17,no tennis
not sunny,windy,humid,fall,AM,50.24,22,no tennis
not sunny,not windy,not humid,fall,AM,56.1,5,no tennis
not sunny,not windy,not humid,summer,AM,58.31,24,no tennis
sunny,windy,humid,summer,AM,71.09,5,tennis
sunny,not windy,not humid,fall,AM,79.28,12,tennis
sunny,windy,humid,summer,AM,93.03,23,tennis
sunny,windy,not humid,summer,AM,87.64,5,tennis
not sunny,windy,humid,fall,AM,75.14,20,no tennis
not sunny,not windy,not humid,fall,PM,86.35,8,tennis
not sunny,windy,humid,fall,AM,68.59,26,no tennis
not sunny,not windy,not humid,summer,AM,74.73,15,no tennis
sunny,not windy,not humid,summer,PM,86.68,11,tennis
not sunny,windy,humid,fall,AM,51.08,7,no tennis
sunny,windy,humid,fall,PM,93.03,0,tennis
not sunny,not windy,humid,summer,AM,98.2,6,no tennis
sunny,windy,not humid,fall,AM,94.55,26,no tennis
not sunny,not windy,not humid,fall,PM,63.19,26,no tennis
sunny,not windy,humid,summer,AM,68.64,3,tennis
sunny,not windy,not humid,fall,AM,67.58,4,tennis
sunny,not windy,humid,summer,PM,87.04,28,tennis
sunny,not windy,not humid,fall,PM,55.59,11,tennis
not sunny,not windy,not humid,summer,PM,93.1,7,no tennis
not sunny,not windy,humid,fall,AM,78.94,23,no tennis
not sunny,not windy,not humid,summer,PM,87.97,25,no tennis
not sunny,windy,not humid,summer,PM,53.61,29,no tennis
not sunny,windy,humid,fall,AM,96.81,18,tennis
not sunny,windy,not humid,summer,AM,50.3,2,no tennis
sunny,not windy,not humid,summer,PM,70.3,20,tennis
sunny,not windy,humid,fall,PM,99.46,11,tennis
not sunny,not windy,humid,summer,PM,72.46,9,no tennis
not sunny,windy,humid,summer,PM,94.12,1,no tennis
sunny,not windy,not humid,fall,AM,55.32,22,tennis
not sunny,windy,not humid,summer,PM,86.0,27,no tennis
sunny,windy,humid,summer,AM,93.65,21,tennis
not sunny,not windy,humid,fall,PM,81.09,27,no tennis
not sunny,windy,humid,fall,PM,51.62,24,no tennis
not sunny,not windy,humid,summer,AM,81.86,27,tennis
sunny,not windy,not humid,fall,AM,98.51,20,tennis
sunny,not windy,humid,summer,AM,77.1,29,tennis
sunny,not windy,humid,summer,AM,92.48,3,no tennis
not sunny,windy,not humid,fall,PM,92.6,15,no tennis
not sunny,not windy,not humid,summer,AM,63.02,20,no tennis
not sunny,not windy,not humid,fall,PM,53.55,28,no tennis
sunny,windy,humid,summer,AM,74.97,17,tennis
not sunny,not windy,not humid,fall,AM,97.93,0,no tennis
sunny,windy,humid,fall,PM,55.69,25,tennis
not sunny,not windy,not humid,summer,AM,95.8,21,no tennis
sunny,not windy,humid,summer,PM,87.96,19,tennis
not sunny,not windy,humid,summer,AM,52.53,15,tennis
not sunny,not windy,not humid,fall,AM,92.43,14,no tennis
not sunny,windy,not humid,summer,AM,78.14,6,no tennis
sunny,not windy,humid,fall,AM,63.68,25,tennis
not sunny,not windy,not humid,fall,PM,51.93,24,no tennis
sunny,not windy,humid,fall,PM,73.17,9,tennis
not sunny,windy,not humid,summer,PM,90.2,30,no tennis
not sunny,not windy,not humid,fall,AM,77.94,17,tennis
not sunny,not windy,humid,summer,PM,99.9,16,no tennis
sunny,not windy,not humid,summer,PM,68.91,2,tennis
not sunny,windy,not humid,summer,PM,68.55,21,no tennis
not sunny,not windy,not humid,fall,AM,61.21,7,no tennis
sunny,not windy,humid,summer,PM,76.9,1,tennis
not sunny,windy,not humid,summer,AM,53.43,13,tennis
sunny,windy,not humid,fall,PM,88.03,26,tennis
sunny,not windy,not humid,summer,AM,99.89,16,tennis
not sunny,not windy,humid,fall,AM,87.31,27,no tennis
not sunny,not windy,humid,fall,AM,84.7,12,no tennis
sunny,not windy,humid,summer,PM,51.61,8,tennis
not sunny,windy,not humid,summer,AM,88.68,25,no tennis
not sunny,not windy,not humid,fall,AM,64.05,21,no tennis
not sunny,not windy,humid,summer,PM,96.97,16,no tennis
sunny,windy,not humid,summer,AM,67.69,12,tennis
not sunny,not windy,humid,fall,AM,63.69,2,no tennis
sunny,windy,humid,summer,AM,56.24,10,tennis
sunny,not windy,humid,fall,PM,72.86,30,no tennis
sunny,windy,humid,summer,AM,68.97,9,tennis
not sunny,not windy,humid,fall,PM,67.82,11,no tennis
not sunny,windy,not humid,summer,AM,53.23,23,no tennis
sunny,windy,not humid,fall,AM,93.72,7,tennis
not sunny,windy,humid,summer,AM,62.47,23,no tennis
not sunny,windy,humid,fall,AM,80.08,0,no tennis
not sunny,not windy,humid,fall,PM,92.67,30,no tennis
sunny,windy,humid,fall,AM,63.12,18,tennis
not sunny,not windy,not humid,summer,AM,83.73,29,no tennis
sunny,windy,humid,fall,PM,93.05,13,tennis
not sunny,windy,not humid,fall,AM,65.97,17,no tennis
sunny,not windy,not humid,summer,PM,59.17,13,tennis
not sunny,not windy,humid,fall,PM,61.91,23,no tennis
not sunny,windy,not humid,summer,AM,60.68,2,no tennis
not sunny,windy,humid,summer,AM,77.03,3,no tennis
not sunny,windy,not humid,summer,PM,51.2,6,no tennis
not sunny,not windy,not humid,fall,PM,75.22,14,no tennis
sunny,windy,not humid,summer,PM,95.73,29,tennis
sunny,windy,humid,summer,AM,70.28,22,tennis
not sunny,not windy,humid,summer,PM,61.07,17,no tennis
not sunny,windy,not humid,fall,PM,80.5,3,no tennis
sunny,windy,humid,fall,AM,95.83,2,tennis
not sunny,not windy,humid,summer,PM,82.34,8,no tennis
not sunny,windy,humid,summer,PM,54.13,18,no tennis
sunny,not windy,not humid,summer,PM,64.09,26,tennis
sunny,windy,not humid,fall,AM,81.79,2,no tennis
sunny,not windy,humid,summer,AM,63.45,9,tennis
not sunny,not windy,not humid,summer,AM,70.95,0,no tennis
sunny,not windy,humid,summer,AM,75.04,13,tennis
sunny,not windy,humid,fall,PM,69.09,3,tennis
sunny,windy,humid,summer,PM,98.61,28,tennis
sunny,not windy,humid,summer,AM,74.07,5,tennis
sunny,windy,humid,summer,AM,56.26,9,tennis
sunny,not windy,humid,summer,AM,51.08,21,tennis
not sunny,windy,humid,fall,PM,78.35,8,no tennis
sunny,windy,humid,summer,AM,57.2,17,no tennis
not sunny,not windy,humid,summer,AM,79.38,16,no tennis
sunny,not windy,humid,summer,AM,53.01,4,tennis
not sunny,not windy,humid,summer,PM,51.88,21,no tennis
not sunny,not windy,not humid,summer,AM,99.86,6,no tennis
not sunny,windy,not humid,fall,PM,89.49,25,no tennis
not sunny,not windy,not humid,summer,AM,58.79,30,no tennis
not sunny,windy,humid,summer,PM,62.94,13,no tennis
sunny,not windy,not humid,fall,PM,79.77,19,no tennis
not sunny,not windy,humid,summer,PM,57.93,20,no tennis
sunny,not windy,not humid,fall,AM,71.75,5,tennis
not sunny,not windy,not humid,summer,AM,75.46,8,no tennis
sunny,windy,not humid,summer,AM,57.49,26,tennis
not sunny,not windy,not humid,summer,PM,73.39,2,no tennis
not sunny,not windy,humid,summer,PM,95.32,2,no tennis
sunny,windy,not humid,fall,PM,76.16,2,tennis
sunny,windy,humid,fall,AM,58.77,11,no tennis
sunny,windy,humid,fall,AM,66.34,7,tennis
sunny,not windy,not humid,fall,PM,53.21,30,tennis
sunny,windy,humid,fall,PM,87.21,3,tennis
sunny,windy,humid,fall,PM,67.95,1,tennis
sunny,windy,not humid,summer,PM,51.35,25,tennis
sunny,not windy,humid,summer,PM,66.5,27,tennis
not sunny,windy,humid,fall,PM,69.31,2,no tennis
sunny,windy,humid,fall,AM,79.8,14,tennis
not sunny,windy,not humid,summer,PM,51.04,11,no tennis
sunny,windy,not humid,summer,AM,99.56,25,tennis
not sunny,windy,not humid,summer,PM,60.21,28,no tennis
not sunny,not windy,humid,fall,PM,91.8,14,no tennis
sunny,not windy,humid,summer,AM,67.08,13,tennis
sunny,windy,humid,summer,PM,96.48,9,tennis
sunny,not windy,not humid,fall,PM,90.75,17,tennis
not sunny,windy,humid,fall,PM,62.1,2,no tennis
sunny,windy,humid,summer,PM,94.44,22,tennis
not sunny,not windy,not humid,fall,AM,83.43,11,no tennis
not sunny,windy,not humid,summer,AM,98.84,2,no tennis
not sunny,windy,not humid,summer,AM,51.76,8,no tennis
not sunny,windy,humid,fall,PM,81.39,18,no tennis
sunny,not windy,not humid,fall,AM,68.78,17,tennis
sunny,windy,not humid,fall,PM,75.16,11,tennis
not sunny,windy,humid,fall,PM,98.46,8,no tennis
not sunny,windy,not humid,fall,PM,86.44,28,no tennis
sunny,not windy,not humid,fall,AM,56.21,18,no tennis
sunny,not windy,not humid,fall,PM,91.84,22,tennis
sunny,windy,not humid,summer,PM,94.14,17,no tennis
not sunny,not windy,humid,summer,AM,50.43,22,no tennis
sunny,windy,not humid,fall,AM,59.46,11,tennis
sunny,windy,humid,fall,PM,85.59,5,tennis
sunny,not windy,humid,summer,AM,79.38,8,tennis
not sunny,not windy,humid,summer,AM,85.11,25,no tennis
sunny,windy,humid,fall,PM,74.04,29,no tennis
sunny,windy,not humid,summer,PM,57.75,6,tennis
sunny,not windy,humid,fall,PM,97.03,3,tennis
sunny,windy,humid,summer,PM,86.24,19,tennis
not sunny,not windy,humid,summer,PM,58.0,7,no tennis
sunny,not windy,not humid,fall,PM,96.18,11,tennis
sunny,windy,not humid,fall,PM,70.65,5,tennis
not sunny,windy,humid,summer,AM,67.13,13,no tennis
sunny,windy,humid,summer,AM,50.84,6,tennis
not sunny,windy,not humid,fall,AM,65.81,28,no tennis
sunny,windy,humid,fall,PM,95.49,8,no tennis
not sunny,not windy,humid,summer,PM,75.45,25,no tennis
not sunny,not windy,humid,fall,AM,57.44,19,no tennis
sunny,windy,humid,fall,AM,90.72,14,tennis
not sunny,windy,humid,fall,PM,98.0,20,tennis
not sunny,not windy,humid,fall,AM,98.22,20,no tennis
sunny,windy,not humid,fall,AM,90.56,16,tennis
not sunny,not windy,not humid,summer,PM,67.87,21,no tennis
sunny,not windy,humid,summer,PM,56.35,1,tennis
not sunny,windy,humid,summer,PM,55.2,22,no tennis
sunny,not windy,not humid,fall,PM,88.02,12,tennis
sunny,windy,humid,summer,AM,85.83,3,tennis
sunny,windy,not humid,summer,PM,66.3,22,tennis
not sunny,windy,humid,summer,PM,87.11,28,no tennis
sunny,windy,not humid,summer,PM,82.69,1,tennis
not sunny,not windy,not humid,fall,PM,53.78,27,no tennis
