sun,wind,humidity,season,time,temp,travel,tennis
not sunny,windy,not humid,fall,AM,63.81,8,no tennis
not sunny,windy,not humid,fall,PM,86.35,14,no tennis
sunny,not windy,not humid,summer,PM,85.07,15,tennis
sunny,not windy,humid,summer,AM,57.28,19,tennis
sunny,windy,not humid,fall,AM,70.51,15,tennis
sunny,windy,humid,fall,AM,52.88,28,tennis
sunny,not windy,not humid,fall,PM,92.31,10,tennis
not sunny,windy,humid,summer,PM,69.91,22,no tennis
sunny,not windy,not humid,fall,PM,59.19,17,no tennis
not sunny,windy,not humid,fall,AM,51.68,27,no tennis
not sunny,not windy,humid,summer,PM,54.97,11,no tennis
sunny,windy,not humid,summer,AM,74.79,20,no tennis
not sunny,not windy,not humid,fall,AM,79.79,13,no tennis
sunny,not windy,not humid,fall,AM,95.26,6,no tennis
sunny,windy,humid,summer,AM,76.7,14,tennis
sunny,windy,not humid,summer,AM,82.49,1,tennis
not sunny,windy,humid,summer,AM,77.57,2,tennis
not sunny,windy,humid,fall,AM,87.16,14,no tennis
sunny,windy,not humid,summer,PM,61.17,7,tennis
sunny,windy,not humid,fall,PM,96.34,22,no tennis
not sunny,windy,not humid,summer,AM,81.49,7,no tennis
not sunny,windy,humid,summer,AM,65.84,27,no tennis
not sunny,windy,not humid,summer,PM,80.06,21,no tennis
sunny,windy,humid,summer,PM,62.73,21,tennis
sunny,not windy,humid,fall,AM,69.08,5,no tennis
not sunny,windy,humid,summer,AM,83.23,13,tennis
sunny,windy,not humid,fall,AM,54.98,27,tennis
sunny,windy,humid,summer,PM,53.08,4,no tennis
not sunny,windy,humid,summer,AM,51.19,3,no tennis
sunny,windy,humid,summer,PM,63.51,1,no tennis
sunny,windy,humid,fall,AM,73.17,29,tennis
not sunny,windy,not humid,fall,AM,89.45,20,no tennis
not sunny,windy,humid,summer,AM,83.19,16,tennis
sunny,windy,humid,summer,AM,55.63,21,tennis
not sunny,windy,humid,fall,AM,65.14,16,no tennis
not sunny,not windy,not humid,fall,AM,91.54,16,no tennis
sunny,not windy,not humid,fall,AM,53.03,1,tennis
not sunny,not windy,humid,fall,AM,74.51,22,no tennis
not sunny,not windy,humid,summer,PM,84.68,26,no tennis
sunny,not windy,not humid,summer,PM,52.55,24,tennis
sunny,windy,humid,summer,AM,83.05,13,tennis
not sunny,windy,humid,summer,PM,74.7,23,tennis
sunny,windy,not humid,fall,AM,92.48,6,tennis
not sunny,windy,humid,summer,PM,98.95,25,no tennis
not sunny,windy,not humid,fall,AM,68.75,8,no tennis
sunny,not windy,humid,fall,AM,57.69,1,no tennis
not sunny,not windy,not humid,fall,PM,56.99,17,tennis
not sunny,windy,not humid,fall,PM,91.5,23,tennis
not sunny,windy,humid,fall,PM,63.12,9,no tennis
not sunny,not windy,not humid,summer,AM,76.6,4,no tennis
not sunny,not windy,humid,summer,PM,80.01,25,no tennis
not sunny,windy,humid,fall,AM,58.71,0,no tennis
sunny,not windy,humid,fall,AM,75.47,25,tennis
not sunny,not windy,not humid,summer,PM,56.22,29,tennis
not sunny,not windy,not humid,fall,PM,64.27,2,tennis
not sunny,not windy,humid,summer,PM,91.44,6,no tennis
sunny,windy,not humid,fall,PM,81.11,1,tennis
sunny,not windy,humid,summer,AM,81.72,0,no tennis
not sunny,not windy,humid,summer,PM,93.11,24,tennis
sunny,not windy,humid,summer,AM,99.34,27,no tennis
not sunny,windy,not humid,fall,AM,98.0,10,tennis
sunny,windy,humid,fall,PM,92.96,22,no tennis
not sunny,windy,humid,fall,AM,51.93,12,no tennis
not sunny,not windy,not humid,summer,AM,75.79,23,no tennis
sunny,not windy,not humid,fall,PM,63.0,17,tennis
not sunny,windy,humid,fall,PM,88.25,16,no tennis
sunny,windy,not humid,fall,AM,64.56,22,no tennis
not sunny,not windy,humid,summer,AM,57.86,28,no tennis
sunny,windy,humid,fall,AM,61.66,27,tennis
sunny,windy,not humid,fall,PM,52.21,7,tennis
not sunny,windy,not humid,summer,PM,94.3,1,no tennis
not sunny,windy,humid,fall,AM,59.47,1,no tennis
not sunny,not windy,not humid,summer,AM,86.12,29,tennis
not sunny,windy,not humid,fall,AM,91.02,1,tennis
sunny,not windy,humid,summer,AM,69.96,2,tennis
sunny,windy,not humid,summer,PM,77.42,24,no tennis
sunny,windy,humid,summer,AM,87.71,11,tennis
sunny,not windy,not humid,summer,PM,63.53,5,tennis
not sunny,not windy,not humid,summer,AM,51.4,18,no tennis
sunny,not windy,not humid,fall,AM,52.61,30,tennis
sunny,windy,not humid,summer,AM,87.64,30,tennis
sunny,not windy,humid,fall,AM,80.54,20,tennis
not sunny,windy,humid,fall,AM,81.59,26,tennis
sunny,windy,humid,summer,AM,84.42,26,no tennis
sunny,windy,not humid,fall,AM,88.6,13,tennis
not sunny,windy,humid,fall,AM,54.1,7,tennis
not sunny,not windy,not humid,summer,AM,85.58,4,no tennis
not sunny,not windy,not humid,fall,AM,87.63,9,no tennis
sunny,not windy,not humid,summer,AM,66.56,4,no tennis
sunny,not windy,humid,fall,AM,81.64,30,tennis
not sunny,not windy,not humid,summer,AM,71.19,3,tennis
sunny,not windy,not humid,fall,PM,69.02,0,tennis
sunny,windy,humid,fall,AM,81.72,6,tennis
not sunny,windy,not humid,summer,PM,73.44,24,tennis
not sunny,not windy,humid,fall,AM,68.76,22,no tennis
sunny,windy,not humid,fall,AM,91.28,8,no tennis
sunny,windy,humid,fall,AM,66.89,3,tennis
not sunny,not windy,not humid,summer,PM,56.95,1,tennis
not sunny,windy,humid,fall,PM,77.12,23,tennis
not sunny,windy,humid,fall,PM,57.36,9,tennis
not sunny,not windy,not humid,fall,AM,56.48,8,no tennis
sunny,not windy,humid,fall,PM,64.13,7,no tennis
sunny,not windy,not humid,fall,AM,50.92,27,tennis
not sunny,not windy,not humid,summer,AM,90.65,17,tennis
not sunny,not windy,not humid,summer,AM,73.54,15,tennis
not sunny,not windy,humid,summer,AM,92.77,19,no tennis
sunny,windy,humid,summer,AM,61.36,19,tennis
not sunny,windy,humid,fall,PM,52.09,4,tennis
sunny,not windy,not humid,fall,PM,63.82,9,no tennis
sunny,not windy,humid,fall,AM,50.29,0,tennis
sunny,windy,humid,summer,AM,55.41,25,no tennis
not sunny,windy,humid,fall,PM,60.82,0,no tennis
not sunny,windy,not humid,fall,PM,51.26,26,no tennis
not sunny,windy,humid,summer,AM,81.56,23,tennis
sunny,not windy,humid,summer,AM,54.7,17,no tennis
not sunny,windy,not humid,fall,PM,76.44,21,no tennis
sunny,not windy,not humid,fall,PM,51.74,27,no tennis
sunny,windy,humid,fall,PM,75.71,1,no tennis
sunny,not windy,humid,fall,PM,67.18,26,no tennis
not sunny,not windy,not humid,summer,PM,99.73,10,tennis
not sunny,windy,not humid,summer,AM,96.25,10,no tennis
not sunny,windy,not humid,fall,AM,62.56,10,no tennis
not sunny,not windy,humid,summer,PM,95.19,26,no tennis
not sunny,not windy,not humid,summer,PM,62.8,20,tennis
sunny,not windy,not humid,summer,PM,94.78,9,tennis
sunny,not windy,humid,summer,AM,73.62,0,tennis
not sunny,windy,humid,summer,PM,53.59,29,tennis
not sunny,windy,humid,summer,AM,91.81,6,no tennis
not sunny,windy,humid,fall,AM,95.94,10,no tennis
sunny,windy,humid,summer,PM,52.76,14,tennis
sunny,not windy,humid,fall,PM,53.67,5,tennis
not sunny,windy,not humid,summer,AM,50.19,6,tennis
sunny,windy,humid,fall,PM,65.48,18,tennis
not sunny,windy,humid,fall,AM,71.39,11,tennis
sunny,windy,not humid,summer,AM,62.92,18,no tennis
sunny,windy,humid,summer,AM,99.03,15,tennis
not sunny,not windy,humid,fall,AM,71.79,10,no tennis
not sunny,not windy,not humid,fall,PM,92.87,13,no tennis
sunny,windy,not humid,summer,AM,57.15,16,tennis
not sunny,not windy,not humid,fall,AM,86.42,3,tennis
sunny,windy,not humid,fall,PM,88.94,22,tennis
not sunny,not windy,humid,summer,PM,64.36,21,no tennis
not sunny,windy,not humid,fall,PM,91.65,4,no tennis
not sunny,windy,not humid,summer,AM,98.92,29,tennis
not sunny,windy,humid,summer,AM,89.69,9,tennis
sunny,windy,humid,summer,AM,82.35,8,no tennis
not sunny,windy,humid,fall,AM,76.48,24,no tennis
not sunny,windy,not humid,fall,AM,87.87,12,no tennis
not sunny,windy,not humid,summer,AM,74.87,9,no tennis
not sunny,not windy,humid,fall,PM,72.62,23,tennis
sunny,not windy,not humid,summer,PM,61.04,19,tennis
sunny,not windy,not humid,summer,AM,68.46,14,tennis
sunny,not windy,not humid,fall,PM,55.52,11,tennis
not sunny,not windy,not humid,summer,PM,55.65,28,no tennis
not sunny,windy,humid,fall,PM,73.36,2,no tennis
sunny,windy,not humid,fall,PM,98.8,8,no tennis
not sunny,not windy,humid,summer,AM,97.42,26,tennis
not sunny,windy,humid,summer,PM,59.86,9,no tennis
sunny,windy,humid,summer,PM,58.82,27,no tennis
sunny,windy,humid,fall,AM,67.87,8,no tennis
sunny,windy,humid,summer,PM,50.43,25,no tennis
not sunny,not windy,not humid,fall,PM,88.04,26,no tennis
sunny,windy,humid,summer,AM,89.72,11,tennis
not sunny,windy,humid,summer,AM,53.7,19,no tennis
sunny,windy,humid,summer,PM,66.98,26,tennis
sunny,windy,not humid,summer,AM,53.08,15,no tennis
not sunny,not windy,not humid,summer,AM,96.93,16,tennis
not sunny,not windy,humid,summer,AM,82.36,15,tennis
not sunny,not windy,humid,summer,AM,81.61,8,tennis
not sunny,windy,humid,summer,AM,94.42,29,no tennis
not sunny,not windy,humid,fall,AM,94.33,10,tennis
sunny,windy,not humid,summer,PM,68.46,29,tennis
not sunny,not windy,not humid,fall,AM,59.89,19,tennis
sunny,windy,not humid,fall,PM,83.19,18,tennis
sunny,not windy,not humid,summer,PM,62.0,7,tennis
sunny,windy,not humid,fall,PM,59.75,25,tennis
not sunny,windy,not humid,summer,PM,96.6,22,no tennis
not sunny,windy,humid,summer,PM,92.61,27,no tennis
not sunny,not windy,not humid,summer,AM,83.92,0,tennis
not sunny,windy,humid,summer,PM,61.31,13,no tennis
sunny,not windy,humid,summer,PM,54.84,9,no tennis
not sunny,windy,humid,fall,AM,53.7,26,no tennis
not sunny,not windy,not humid,summer,AM,72.07,11,no tennis
sunny,windy,humid,fall,AM,87.92,16,no tennis
not sunny,windy,humid,fall,PM,59.33,22,tennis
not sunny,not windy,humid,fall,AM,65.16,27,no tennis
not sunny,windy,not humid,summer,AM,76.01,7,no tennis
sunny,windy,not humid,fall,PM,97.92,22,tennis
sunny,windy,humid,summer,AM,60.32,25,tennis
not sunny,windy,not humid,fall,AM,78.3,29,tennis
not sunny,windy,not humid,fall,PM,92.98,2,tennis
not sunny,windy,humid,fall,PM,61.72,30,tennis
not sunny,windy,humid,fall,AM,96.74,15,no tennis
sunny,not windy,humid,summer,AM,77.49,14,no tennis
sunny,not windy,humid,summer,PM,69.55,10,tennis
sunny,windy,humid,summer,PM,61.64,27,no tennis
not sunny,not windy,not humid,summer,AM,52.41,29,no tennis
sunny,windy,humid,summer,PM,50.29,8,tennis
sunny,not windy,not humid,fall,AM,56.93,18,tennis
not sunny,windy,not humid,summer,AM,64.2,4,tennis
sunny,not windy,humid,fall,AM,83.96,25,no tennis
not sunny,windy,humid,fall,PM,51.51,4,no tennis
not sunny,not windy,not humid,summer,PM,87.07,16,no tennis
not sunny,windy,humid,fall,AM,77.33,9,tennis
not sunny,not windy,not humid,summer,PM,81.7,12,tennis
sunny,windy,humid,fall,PM,84.78,23,no tennis
sunny,windy,humid,fall,AM,71.27,7,no tennis
not sunny,windy,humid,fall,PM,91.59,1,no tennis
sunny,windy,humid,fall,PM,66.68,9,tennis
not sunny,not windy,humid,fall,AM,51.33,24,no tennis
sunny,not windy,humid,summer,PM,52.09,6,no tennis
sunny,windy,not humid,summer,AM,64.87,12,tennis
sunny,not windy,humid,summer,AM,92.23,7,no tennis
sunny,not windy,humid,summer,PM,51.99,24,tennis
not sunny,not windy,not humid,fall,PM,88.63,8,tennis
not sunny,not windy,not humid,fall,AM,95.72,23,tennis
sunny,windy,not humid,summer,PM,82.25,19,tennis
not sunny,not windy,humid,summer,PM,61.92,20,tennis
not sunny,windy,not humid,summer,PM,59.98,5,no tennis
sunny,not windy,humid,fall,PM,65.92,2,tennis
sunny,not windy,not humid,fall,AM,53.79,12,tennis
not sunny,windy,humid,summer,AM,74.37,1,no tennis
not sunny,not windy,humid,fall,PM,62.55,30,no tennis
not sunny,windy,humid,fall,PM,69.85,6,tennis
sunny,not windy,humid,summer,PM,63.5,3,no tennis
not sunny,windy,not humid,fall,AM,76.62,13,no tennis
sunny,windy,humid,fall,AM,80.68,23,no tennis
sunny,not windy,not humid,summer,AM,55.47,30,tennis
sunny,windy,not humid,summer,PM,50.29,19,no tennis
not sunny,not windy,humid,fall,PM,85.13,2,tennis
not sunny,windy,humid,summer,AM,52.6,25,no tennis
not sunny,not windy,not humid,summer,AM,85.99,13,tennis
sunny,windy,not humid,fall,PM,78.45,23,no tennis
not sunny,windy,humid,fall,AM,53.54,4,tennis
sunny,windy,humid,fall,PM,82.27,20,no tennis
not sunny,windy,humid,summer,AM,51.11,8,tennis
not sunny,not windy,humid,summer,AM,93.17,12,no tennis
sunny,windy,not humid,summer,PM,68.9,29,no tennis
sunny,windy,not humid,fall,AM,61.93,11,no tennis
sunny,windy,not humid,summer,AM,76.9,19,no tennis
sunny,not windy,not humid,fall,PM,90.49,19,no tennis
not sunny,not windy,not humid,summer,AM,93.97,28,no tennis
sunny,not windy,humid,summer,PM,70.01,8,no tennis
sunny,not windy,not humid,summer,PM,78.9,2,tennis
sunny,windy,not humid,fall,AM,70.05,11,no tennis
sunny,windy,humid,fall,PM,82.93,8,tennis
not sunny,not windy,humid,summer,PM,81.57,8,no tennis
not sunny,windy,not humid,summer,PM,90.32,13,no tennis
not sunny,windy,not humid,fall,AM,93.95,26,tennis
not sunny,windy,not humid,summer,AM,76.24,26,no tennis
sunny,not windy,not humid,summer,AM,78.62,21,tennis
sunny,not windy,humid,fall,PM,74.8,18,tennis
sunny,not windy,humid,fall,PM,96.5,6,tennis
sunny,not windy,humid,fall,PM,62.7,1,tennis
sunny,windy,humid,summer,AM,83.64,19,tennis
not sunny,windy,not humid,fall,PM,72.53,14,no tennis
sunny,windy,not humid,summer,PM,82.18,22,tennis
sunny,not windy,humid,fall,AM,89.06,14,no tennis
sunny,windy,humid,fall,PM,63.27,25,no tennis
not sunny,windy,humid,summer,AM,97.25,10,tennis
sunny,windy,humid,fall,PM,68.85,11,tennis
not sunny,windy,not humid,summer,PM,73.85,19,no tennis
not sunny,not windy,not humid,summer,PM,85.69,1,no tennis
sunny,not windy,not humid,fall,AM,98.73,25,tennis
not sunny,windy,humid,summer,AM,50.09,8,no tennis
not sunny,windy,humid,summer,AM,76.26,17,no tennis
not sunny,not windy,not humid,summer,AM,88.19,16,no tennis
sunny,not windy,humid,fall,AM,79.71,1,tennis
sunny,not windy,not humid,fall,AM,80.52,8,no tennis
not sunny,not windy,humid,summer,PM,60.03,25,no tennis
not sunny,windy,humid,summer,PM,57.69,30,no tennis
not sunny,not windy,humid,fall,PM,51.47,28,no tennis
not sunny,windy,not humid,fall,PM,62.87,13,no tennis
not sunny,windy,humid,fall,AM,87.76,18,tennis
not sunny,windy,humid,fall,PM,82.29,17,no tennis
sunny,windy,humid,summer,AM,88.45,1,tennis
not sunny,not windy,humid,fall,AM,70.15,3,tennis
sunny,not windy,humid,summer,PM,82.99,11,no tennis
sunny,not windy,humid,fall,AM,85.02,16,tennis
sunny,windy,not humid,fall,AM,58.79,17,tennis
sunny,not windy,not humid,fall,AM,89.05,15,tennis
sunny,windy,not humid,summer,PM,97.57,28,tennis
not sunny,windy,not humid,fall,AM,73.37,3,no tennis
sunny,windy,not humid,summer,PM,72.65,21,tennis
not sunny,windy,not humid,fall,AM,55.22,18,no tennis
not sunny,not windy,not humid,fall,AM,70.93,12,no tennis
sunny,not windy,humid,summer,PM,89.73,15,no tennis
sunny,not windy,humid,summer,PM,51.43,8,tennis
not sunny,windy,humid,summer,PM,94.83,5,tennis
not sunny,not windy,humid,summer,PM,70.73,15,tennis
not sunny,not windy,not humid,fall,PM,58.9,8,tennis
sunny,windy,not humid,summer,PM,51.08,18,no tennis
sunny,not windy,humid,fall,PM,99.88,17,tennis
sunny,windy,not humid,fall,PM,57.23,3,tennis
sunny,windy,humid,fall,PM,58.02,21,no tennis
sunny,windy,not humid,summer,PM,95.85,23,tennis
not sunny,windy,not humid,summer,AM,75.98,30,tennis
sunny,windy,not humid,fall,PM,66.74,9,tennis
not sunny,not windy,not humid,summer,PM,65.43,29,no tennis
not sunny,windy,not humid,fall,AM,56.45,2,tennis
sunny,windy,not humid,fall,AM,81.68,17,no tennis
not sunny,windy,humid,fall,AM,61.07,19,no tennis
not sunny,not windy,humid,summer,AM,73.07,30,no tennis
sunny,windy,humid,fall,AM,60.05,19,tennis
not sunny,windy,not humid,summer,AM,71.03,23,no tennis
sunny,not windy,humid,summer,AM,50.15,22,tennis
not sunny,windy,humid,fall,AM,75.87,5,tennis
sunny,not windy,not humid,fall,PM,74.98,5,tennis
not sunny,windy,humid,summer,PM,63.75,4,no tennis
sunny,windy,not humid,summer,AM,55.07,0,no tennis
not sunny,not windy,humid,summer,PM,54.9,11,no tennis
not sunny,not windy,not humid,summer,AM,88.35,5,tennis
not sunny,windy,not humid,fall,AM,76.41,2,no tennis
sunny,not windy,not humid,summer,AM,52.16,9,tennis
not sunny,not windy,not humid,summer,AM,69.94,23,no tennis
not sunny,windy,not humid,summer,PM,88.21,29,no tennis
sunny,windy,humid,fall,PM,79.82,29,no tennis
sunny,not windy,not humid,fall,AM,61.71,14,no tennis
not sunny,not windy,humid,summer,AM,97.95,29,no tennis
not sunny,not windy,not humid,summer,PM,65.95,0,no tennis
sunny,not windy,not humid,summer,AM,91.09,13,no tennis
not sunny,not windy,humid,summer,AM,60.83,19,no tennis
not sunny,windy,humid,summer,PM,74.74,4,tennis
sunny,windy,not humid,summer,AM,90.14,5,tennis
sunny,windy,humid,fall,PM,77.0,10,tennis
not sunny,windy,not humid,fall,AM,53.84,6,no tennis
sunny,windy,humid,summer,PM,61.01,26,no tennis
sunny,windy,not humid,summer,AM,77.45,29,tennis
not sunny,not windy,humid,summer,PM,73.18,22,no tennis
sunny,windy,not humid,fall,AM,73.01,2,tennis
not sunny,windy,humid,fall,AM,87.86,19,no tennis
not sunny,not windy,humid,fall,AM,81.13,8,tennis
not sunny,windy,humid,summer,AM,62.43,16,no tennis
sunny,not windy,not humid,summer,PM,96.6,21,tennis
not sunny,windy,not humid,fall,AM,99.54,5,tennis
not sunny,windy,not humid,fall,AM,63.25,17,tennis
sunny,not windy,not humid,fall,PM,88.96,20,no tennis
sunny,not windy,not humid,fall,AM,68.47,20,no tennis
not sunny,windy,humid,fall,AM,54.38,28,no tennis
sunny,not windy,not humid,summer,PM,59.71,5,tennis
sunny,windy,not humid,fall,AM,92.39,18,tennis
sunny,not windy,humid,summer,PM,96.76,6,tennis
sunny,not windy,not humid,summer,AM,68.83,18,tennis
sunny,not windy,not humid,summer,AM,93.43,5,no tennis
not sunny,not windy,not humid,fall,AM,76.18,12,tennis
not sunny,not windy,not humid,summer,AM,99.9,26,no tennis
not sunny,not windy,humid,summer,PM,84.49,2,no tennis
sunny,windy,humid,fall,PM,95.84,14,no tennis
not sunny,not windy,humid,summer,PM,93.19,14,no tennis
not sunny,not windy,not humid,summer,PM,72.19,14,no tennis
not sunny,windy,not humid,fall,AM,93.34,18,tennis
sunny,not windy,not humid,summer,PM,55.43,12,tennis
not sunny,not windy,humid,fall,PM,93.3,20,no tennis
not sunny,windy,humid,fall,PM,78.09,11,no tennis
not sunny,windy,humid,fall,PM,53.52,30,no tennis
not sunny,not windy,not humid,fall,AM,60.17,4,no tennis
not sunny,not windy,not humid,fall,AM,75.08,0,no tennis
sunny,not windy,not humid,summer,PM,53.24,2,tennis
sunny,windy,humid,fall,AM,80.85,28,tennis
sunny,not windy,humid,fall,PM,54.91,16,no tennis
not sunny,not windy,humid,fall,AM,80.51,20,tennis
not sunny,not windy,humid,fall,AM,62.2,7,tennis
sunny,windy,not humid,fall,AM,99.54,18,no tennis
not sunny,not windy,humid,fall,AM,85.36,8,no tennis
sunny,not windy,not humid,fall,PM,83.82,7,no tennis
sunny,not windy,not humid,fall,AM,70.8,6,tennis
not sunny,not windy,humid,fall,AM,65.83,7,tennis
not sunny,not windy,not humid,summer,AM,84.63,5,no tennis
sunny,windy,humid,summer,PM,83.32,1,no tennis
not sunny,windy,humid,fall,AM,53.74,16,no tennis
sunny,not windy,humid,summer,PM,87.31,4,tennis
not sunny,windy,not humid,summer,AM,94.07,5,no tennis
not sunny,not windy,humid,fall,AM,54.36,1,no tennis
sunny,windy,humid,summer,PM,71.7,22,no tennis
sunny,not windy,humid,fall,AM,79.08,30,no tennis
sunny,not windy,not humid,fall,AM,82.82,29,tennis
not sunny,windy,humid,summer,AM,92.58,14,no tennis
sunny,windy,not humid,summer,AM,96.79,4,no tennis
not sunny,windy,humid,fall,PM,59.04,1,no tennis
sunny,not windy,not humid,summer,PM,51.63,3,tennis
sunny,not windy,not humid,fall,PM,76.87,14,no tennis
not sunny,not windy,humid,summer,PM,65.27,28,no tennis
sunny,not windy,not humid,fall,PM,82.98,2,tennis
not sunny,not windy,not humid,summer,PM,84.99,12,tennis
sunny,not windy,humid,fall,AM,66.21,7,tennis
not sunny,windy,not humid,fall,PM,68.59,24,tennis
sunny,windy,not humid,fall,AM,88.79,22,no tennis
not sunny,not windy,not humid,fall,PM,73.08,11,no tennis
not sunny,not windy,humid,summer,AM,82.02,7,no tennis
not sunny,windy,humid,summer,AM,97.63,10,tennis
not sunny,windy,humid,summer,PM,77.02,2,no tennis
not sunny,windy,not humid,summer,PM,72.19,16,tennis
not sunny,windy,not humid,fall,PM,53.0,29,no tennis
sunny,windy,not humid,summer,AM,93.81,18,no tennis
not sunny,windy,not humid,fall,AM,75.2,8,no tennis
not sunny,windy,humid,summer,PM,69.98,21,no tennis
sunny,not windy,not humid,fall,AM,57.39,6,no tennis
sunny,not windy,humid,summer,PM,99.16,12,no tennis
sunny,not windy,humid,summer,PM,66.16,10,no tennis
not sunny,not windy,not humid,summer,AM,82.89,21,no tennis
sunny,windy,humid,summer,AM,55.52,10,tennis
not sunny,not windy,not humid,fall,AM,80.29,2,no tennis
sunny,windy,humid,summer,AM,86.74,27,no tennis
sunny,not windy,not humid,summer,AM,56.58,13,no tennis
not sunny,windy,humid,fall,AM,74.44,30,no tennis
sunny,not windy,humid,fall,PM,53.64,0,no tennis
